"","c1","c2","weight"
"23850","NEUROG3","NR1I2",0.0123655928149252
"23549","NEUROD6","SOX14",0.0123881157644883
"23439","NEUROD1","STAT4",0.0124294429119161
"23708","NEUROG1","ZNF280A",0.0124354891582193
"21732","MESP2","NEUROG1",0.0124393051667981
"2543","BCL6B","NEUROD6",0.0124745824036684
"1956","ATOH1","CEBPA",0.0125310493128508
"23498","NEUROD6","NR1H4",0.0125428764329554
"23624","NEUROG1","NR4A2",0.0125539038445022
"1592","ASCL2","NEUROG3",0.0125681930281364
"23924","NEUROG3","THRB",0.0125765053948155
"23578","NEUROD6","VSX1",0.0126103957583762
"23592","NEUROD6","ZNF322",0.0126931925280374
"23471","NEUROD1","ZNF280A",0.0127249452897821
"23916","NEUROG3","TCF12",0.0127696876600739
"23866","NEUROG3","PAX3",0.0127836160673565
"7505","ETS2","NEUROG1",0.0128249639186446
"20501","LHX6","NEUROG3",0.0128519941629955
"23445","NEUROD1","TBX22",0.0128622126991428
"23915","NEUROG3","TBX22",0.0128836943281613
"23617","NEUROG1","NR1I2",0.0129245517078554
"23678","NEUROG1","TAL2",0.0129327647586527
"23554","NEUROD6","SPDEF",0.0129603736611193
"23904","NEUROG3","SP6",0.013010686812293
"23476","NEUROD1","ZNF461",0.0130389663773299
"23691","NEUROG1","THRB",0.013124029999765
"1590","ASCL2","NEUROG1",0.0131469926981084
"21993","MIXL1","NEUROD1",0.0132013680439294
"2544","BCL6B","NEUROG1",0.0132642169883244
"23946","NEUROG3","ZNF461",0.0133069806840376
"23593","NEUROD6","ZNF410",0.0133146090706342
"23909","NEUROG3","STAT4",0.013343416179783
"20499","LHX6","NEUROG1",0.0133567833271011
"23477","NEUROD1","ZNF483",0.0134133323162988
"23573","NEUROD6","THRB",0.0134311338806619
"1830","ATF5","NEUROG1",0.0134898975339476
"16647","HOXA7","NEUROD1",0.0134945868909436
"21997","MIXL1","NEUROG3",0.0134956176795715
"23633","NEUROG1","PAX3",0.0135032874714746
"23638","NEUROG1","PITX1",0.0135222447141236
"7933","FEV","NEUROG2",0.0135242865853071
"2542","BCL6B","NEUROD1",0.0135264010380526
"23558","NEUROD6","STAT4",0.0135611605217826
"862","ARNT2","NEUROD1",0.0135688071981336
"23671","NEUROG1","SP6",0.0135739744118732
"23435","NEUROD1","SPDEF",0.0135753083774478
"23579","NEUROD6","VSX2",0.0135919814178397
"23683","NEUROG1","TCF12",0.013608449689312
"23714","NEUROG1","ZNF483",0.0136131936056768
"23894","NEUROG3","SMAD1",0.0136445761696049
"23596","NEUROD6","ZNF483",0.0136756493813524
"17146","HOXB7","NEUROG3",0.0136764557737224
"1589","ASCL2","NEUROD6",0.0136807463623287
"17142","HOXB7","NEUROD1",0.0136842682275781
"23947","NEUROG3","ZNF483",0.0136852314106858
"20497","LHX6","NEUROD1",0.013737183917323
"8353","FEZF2","NEUROD1",0.0137513312818506
"23424","NEUROD1","SMAD1",0.0137667351220008
"12367","GCM2","NEUROG3",0.0137939877209952
"3946","CEBPA","NEUROG2",0.0138000461137413
"866","ARNT2","NEUROG3",0.0138596548456199
"13676","HES3","NEUROG3",0.0138597264903584
"23590","NEUROD6","ZNF280A",0.0138761122449035
"23396","NEUROD1","PAX3",0.0138792854061049
"23565","NEUROD6","TCF12",0.013936392026453
"23774","NEUROG2","SALL4",0.0139528283386461
"16649","HOXA7","NEUROG1",0.0139558924277294
"23713","NEUROG1","ZNF461",0.0139641666903666
"23499","NEUROD6","NR1I2",0.0139753096393222
"23446","NEUROD1","TCF12",0.0139791065186039
"18577","IKZF3","NEUROG3",0.0139945487948204
"18418","IKZF1","NEUROD1",0.0140109687734351
"22507","MYC","NEUROD1",0.0140212777438067
"22511","MYC","NEUROG3",0.0140517274120443
"17951","HOXD4","NEUROG3",0.014064697557732
"23597","NEUROD6","ZNF501",0.0140713338338749
"8357","FEZF2","NEUROG3",0.0141379280597137
"23401","NEUROD1","PITX1",0.0141614718718514
"11787","GATA5","NEUROD1",0.0141951672883072
"16651","HOXA7","NEUROG3",0.0142329658081527
"18422","IKZF1","NEUROG3",0.014255872902878
"23515","NEUROD6","PAX3",0.0142658580123708
"19036","IRF8","NEUROG3",0.0142689668075473
"23661","NEUROG1","SMAD1",0.014282398854616
"23905","NEUROG3","SPDEF",0.014291827123612
"2110","ATOH1","RARB",0.0143071758626875
"20642","LHX8","NEUROG3",0.0143090808609354
"254","ALX3","ATOH1",0.0143162636225983
"23672","NEUROG1","SPDEF",0.0143465260744394
"23564","NEUROD6","TBX22",0.0143550219412517
"864","ARNT2","NEUROG1",0.0143701431055923
"23483","NEUROD1","ZNF705D",0.0143839228396337
"23951","NEUROG3","ZNF582",0.0143847922567652
"23941","NEUROG3","ZNF280A",0.0144218129717202
"17948","HOXD4","NEUROD6",0.014438540516518
"2172","ATOH1","ZNF322",0.0145120018295747
"17949","HOXD4","NEUROG1",0.0145271109118657
"23852","NEUROG3","NR2E1",0.0145620271526496
"9189","FOXA3","NEUROG1",0.0145662917524757
"23871","NEUROG3","PITX1",0.0145705817078075
"18420","IKZF1","NEUROG1",0.0145810292249343
"9188","FOXA3","NEUROD6",0.0145842457931146
"7720","ETV1","NEUROG2",0.0145868773530881
"19335","IRX6","NEUROG1",0.0145948330392805
"21995","MIXL1","NEUROG1",0.0146117656614594
"15804","HNF4A","NEUROG1",0.0146137226467452
"19032","IRF8","NEUROD1",0.014618139507186
"23543","NEUROD6","SMAD1",0.0146518964479411
"22509","MYC","NEUROG1",0.0146663417237541
"21467","MEOX2","NEUROG3",0.0146700669404227
"23438","NEUROD1","SPIC",0.0146804955937553
"9191","FOXA3","NEUROG3",0.0146884826891972
"2004","ATOH1","HES6",0.0146910282143048
"17144","HOXB7","NEUROG1",0.0147020818311673
"12365","GCM2","NEUROG1",0.0147037836212857
"2122","ATOH1","SIX2",0.0147083719793632
"23421","NEUROD1","SHOX2",0.0147199712901264
"23375","NEUROD1","NFE2L3",0.0147327235893682
"23468","NEUROD1","ZNF211",0.0147328413241826
"23845","NEUROG3","NFE2L3",0.0147351580682099
"23682","NEUROG1","TBX22",0.0147352500370923
"11791","GATA5","NEUROG3",0.0147560281763717
"863","ARNT2","NEUROD6",0.0147630670857501
"1347","ASCL1","NEUROD1",0.0147788325574174
"23697","NEUROG1","VSX2",0.0148208354311807
"9187","FOXA3","NEUROD1",0.0148323991060195
"8354","FEZF2","NEUROD6",0.014840515189933
"19337","IRX6","NEUROG3",0.0148429373589585
"23619","NEUROG1","NR2E1",0.0149120589059577
"20640","LHX8","NEUROG1",0.0150107596898177
"18419","IKZF1","NEUROD6",0.0150293649285073
"18575","IKZF3","NEUROG1",0.0150560300696668
"19033","IRF8","NEUROD6",0.0150601958032581
"23933","NEUROG3","ZBTB6",0.0150618487087021
"2546","BCL6B","NEUROG3",0.0150651908791289
"17947","HOXD4","NEUROD1",0.0151020107979837
"21465","MEOX2","NEUROG1",0.0151035447073307
"11398","GATA3","NEUROD1",0.015111236897927
"22508","MYC","NEUROD6",0.0151299715943537
"23705","NEUROG1","ZNF211",0.0151373224863934
"23437","NEUROD1","SPIB",0.0151439341400982
"23930","NEUROG3","VSX2",0.0151940162593477
"23938","NEUROG3","ZNF211",0.0151971914030058
"19333","IRX6","NEUROD1",0.0152528737102778
"23676","NEUROG1","STAT4",0.0152602757229902
"8773","FOXA1","NEUROD6",0.0152778794525126
"19923","JUNB","NEUROD1",0.0153012734787838
"16484","HOXA6","NEUROG3",0.0153135493749659
"16648","HOXA7","NEUROD6",0.0153297946927959
"11788","GATA5","NEUROD6",0.0153631201984258
"18573","IKZF3","NEUROD1",0.0153684588999024
"19034","IRF8","NEUROG1",0.0154401981147199
"23520","NEUROD6","PITX1",0.0154453907378167
"11400","GATA3","NEUROG1",0.0154463570677357
"11399","GATA3","NEUROD6",0.0154590527581694
"2113","ATOH1","RFX3",0.015476599544309
"11789","GATA5","NEUROG1",0.0154955419573358
"20638","LHX8","NEUROD1",0.0155024538686026
"23553","NEUROD6","SP6",0.0155031221111417
"16480","HOXA6","NEUROD1",0.0155237031300121
"12364","GCM2","NEUROD6",0.0155303703396475
"23373","NEUROD1","NFATC3",0.0155318222250065
"10207","FOXI1","NEUROD1",0.0155361430225353
"23463","NEUROD1","ZBTB6",0.0156058083923341
"23953","NEUROG3","ZNF705D",0.0156248297867702
"23658","NEUROG1","SHOX2",0.015624968159383
"22635","MYF5","NEUROG1",0.0156298243973245
"8355","FEZF2","NEUROG1",0.0156734399585734
"22634","MYF5","NEUROD6",0.0156916614901795
"2115","ATOH1","RHOXF2",0.015695648999515
"4177","CEBPE","NEUROG3",0.0157107485889043
"2140","ATOH1","TAL2",0.0157229288953878
"12555","GRHL3","NEUROG1",0.0157357024131648
"8772","FOXA1","NEUROD1",0.01573659503466
"23540","NEUROD6","SHOX2",0.0157698668820308
"21464","MEOX2","NEUROD6",0.0157914862024836
"23843","NEUROG3","NFATC3",0.0157940002554147
"4173","CEBPE","NEUROD1",0.0158188545495504
"23612","NEUROG1","NFE2L3",0.0158228450636076
"22882","MYNN","NEUROD1",0.0158355834803002
"13674","HES3","NEUROG1",0.0158532890866106
"1349","ASCL1","NEUROG1",0.0158544129731665
"10209","FOXI1","NEUROG1",0.0158586662612315
"23475","NEUROD1","ZNF423",0.015872700523113
"1351","ASCL1","NEUROG3",0.0158746836997364
"19927","JUNB","NEUROG3",0.0158767481075358
"8774","FOXA1","NEUROG1",0.0158982031440371
"23600","NEUROD6","ZNF582",0.0159189779915486
"4175","CEBPE","NEUROG1",0.0159235338046054
"23907","NEUROG3","SPIB",0.0159244398382389
"22886","MYNN","NEUROG3",0.0159261136101787
"2166","ATOH1","ZNF181",0.0159398674209656
"376","ALX3","NEUROG2",0.0159706028181728
"23481","NEUROD1","ZNF582",0.0159707247907297
"23460","NEUROD1","VSX2",0.015980285646153
"22633","MYF5","NEUROD1",0.0159859690239434
"22637","MYF5","NEUROG3",0.0159873140925335
"1709","ATF5","ATOH1",0.0159923407470066
"23673","NEUROG1","SPI1",0.0159940302651763
"23444","NEUROD1","TBX20",0.0160333368641634
"15108","HMX1","NEUROD1",0.0160433468127706
"23908","NEUROG3","SPIC",0.0160462743166778
