"","c1","c2","weight"
"6376","EOMES","HOXC4",0.0537977806744236
"22749","MYF5","ZNF77",0.0538007587046042
"16142","HOXA1","NANOG",0.0538051598912613
"8365","FEZF2","NR1I2",0.053808352432531
"18318","ID1","SMAD1",0.0538128780202874
"28550","SMAD1","SNAI1",0.0538136068526602
"18489","IKZF1","STAT4",0.0538146285463842
"1940","ATF5","ZNF556",0.0538148987270772
"112","ALX1","MEOX2",0.0538174308366392
"27098","POU2AF1","TBX20",0.0538194150582694
"19902","JUNB","LHX8",0.0538226730915967
"25826","OLIG1","STAT4",0.0538243341382436
"28979","SOX2","SPDEF",0.0538296668917581
"11356","GATA3","HOXC4",0.0538298416068301
"19102","IRF8","SPIC",0.0538306303587854
"19863","JUN","THRB",0.0538324221254104
"27442","PPARG","ZBTB32",0.0538328443024646
"11125","FOXR1","ZSCAN5A",0.053833805344105
"29126","SOX9","ZNF280A",0.0538361699509129
"5188","DLX3","ZNF322",0.0538364582879542
"25037","NR2E1","ZBTB32",0.0538366698572174
"2586","BCL6B","RBAK",0.0538397252513534
"25040","NR2E1","ZIM2",0.0538406949197243
"25748","NR5A2","VSX1",0.0538433826849007
"29309","SPIB","TBX20",0.0538460215657058
"27518","PRDM1","VSX1",0.0538467265216001
"2584","BCL6B","PRDM14",0.0538473195910179
"18182","HOXD9","TBX22",0.053848774526902
"25919","OLIG2","SPDEF",0.0538501649793049
"25192","NR2F2","PPARG",0.0538507085852031
"25161","NR2F1","ZNF582",0.0538507708683593
"20844","LMX1B","SP6",0.0538546553292827
"22355","MSX2","ZNF280A",0.0538565523891212
"1319","ASCL1","ISX",0.0538571770619497
"15796","HNF4A","MYF5",0.0538602266652419
"7516","ETS2","NR2C1",0.0538639864056021
"814","ARNT2","HOXA6",0.0538644645136808
"16506","HOXA6","OVOL1",0.0538648848644961
"8902","FOXA2","FOXR1",0.0538651304983467
"27924","RFX3","ZNF79",0.0538670393439078
"20887","LMX1B","ZNF483",0.0538671649641666
"11761","GATA5","JUNB",0.0538688334819343
"14687","HEYL","ZNF501",0.0538689442941326
"2727","BHLHA15","HNF4G",0.0538718317227172
"7584","ETS2","TFAP2A",0.0538723318027601
"9502","FOXB1","ZNF483",0.0538763316350819
"30387","ZNF155","ZNF501",0.0538808878626102
"12456","GCM2","WT1",0.0538821254926464
"16474","HOXA6","MYF5",0.0538867720781069
"7422","ETS2","FOXO1",0.0538875977266351
"1818","ATF5","MSX1",0.0538918612083916
"28586","SMAD1","ZBTB32",0.0538949055570301
"15579","HNF1B","HNF4G",0.0538956965994019
"12879","HAND1","HNF4G",0.0538965784933196
"21023","MAFB","ZNF410",0.0539042975065543
"14103","HESX1","SP6",0.0539056665978557
"26198","OVOL1","SOX10",0.0539064948851779
"24561","NKX2.8","RHOXF2",0.0539076687271176
"4397","CREB3","MYF6",0.0539086013623551
"29161","SP6","THAP2",0.0539087129613852
"28046","RHOXF2","ZBTB32",0.0539089409829281
"8386","FEZF2","PITX1",0.0539093347114121
"4290","CEBPE","ZNF79",0.0539100888455558
"8871","FOXA1","ZNF181",0.0539115544859411
"9787","FOXG1","MEOX2",0.0539116421569283
"10219","FOXI1","NR1I2",0.053912463932628
"20652","LHX8","NR2E1",0.053912750973093
"9256","FOXA3","SPIB",0.0539127592181976
"9923","FOXH1","FOXI1",0.0539157658451195
"12023","GATA6","RARB",0.0539211358586438
"20141","KLF1","TAL2",0.0539243239041746
"22930","MYNN","RHOXF2",0.0539257270928873
"5421","DLX4","ZNF582",0.0539288142784061
"25229","NR2F2","TBX22",0.0539297538951582
"25448","NR4A1","VSX1",0.0539325217118964
"22151","MSX1","PAX3",0.0539332107294747
"15770","HNF4A","IRF8",0.0539351818875703
"4141","CEBPE","IRF8",0.053936132284891
"18798","IRF4","STAT4",0.0539363198350235
"7354","ESRRG","SP6",0.0539403981411398
"1814","ATF5","MESP1",0.0539405177329998
"2854","BHLHA15","TBX20",0.0539411679759766
"28811","SOHLH1","TAL2",0.0539425459102501
"1354","ASCL1","NFE2L3",0.0539447230002498
"27311","PPARA","RARB",0.0539474779188349
"8466","FEZF2","ZNF582",0.0539486881459178
"29754","TCF12","ZNF423",0.0539512917748707
"3445","CDX2","IKZF3",0.0539521813299492
"21728","MESP2","MYOG",0.0539534393006475
"4079","CEBPE","ETV1",0.0539540907150712
"19101","IRF8","SPIB",0.0539568076776566
"28931","SOX14","TBX20",0.0539580965163364
"19672","ISX","PRDM14",0.0539584296505814
"24642","NR1H4","NR5A1",0.0539598398205882
"27891","RFX3","THAP2",0.053962164153749
"3444","CDX2","IKZF1",0.0539663270168742
"29146","SP6","SPIB",0.0539676150915485
"1256","ASCL1","FEZF2",0.0539730256242353
"29999","THAP6","THRB",0.0539735576415861
"29609","TBX18","VSX1",0.0539737810358343
"12666","GRHL3","ZNF582",0.0539769152946337
"3837","CEBPA","DLX3",0.0539772878285533
"11410","GATA3","NR1I2",0.0539784857629425
"16604","HOXA7","HOXC12",0.0539790727588071
"18324","ID1","SOX14",0.0539808100969653
"26061","OLIG3","ZNF582",0.0539826671170084
"15073","HMX1","IKZF3",0.0539835539812732
"3870","CEBPA","GATA6",0.0539843783403248
"15906","HNF4A","ZNF317",0.0539859324543363
"13641","HES3","IRF9",0.0539860671278368
"17219","HOXB7","TBX22",0.0539867666240787
"27304","POU5F2","ZNF79",0.0539882795023456
"26963","PITX2","ZNF501",0.0539901895324071
"28684","SNAI1","SPDEF",0.0539917818193645
"7163","ESRRB","VSX1",0.0539945413068586
"21522","MEOX2","SNAI2",0.0539948373499721
"30115","USF1","ZNF280A",0.0539952335467676
"23094","MYOD1","UTF1",0.0539958403115798
"19567","ISL1","THAP6",0.0539982585013289
"24575","NKX2.8","SOX14",0.0539989233615622
"23046","MYOD1","PRDM1",0.0540004610415681
"26539","PAX7","POU2AF1",0.054000798786535
"11408","GATA3","NKX2.8",0.0540026316621417
"13380","HES1","TBX22",0.0540034552437813
"8442","FEZF2","UTF1",0.0540039527655819
"11439","GATA3","PRDM1",0.0540042289430971
"15872","HNF4A","SPIC",0.0540053763448415
"24006","NFATC3","SHOX2",0.0540120932070156
"20753","LHX8","ZNF705D",0.0540121795128596
"19144","IRF8","ZNF556",0.0540134444210722
"1660","ASCL2","TAL1",0.0540156235564961
"28354","SHOX2","SMAD7",0.0540157518127603
"28006","RHOXF2","SIM2",0.054016246548128
"24599","NKX2.8","THRB",0.0540165136432687
"16556","HOXA6","TBX20",0.0540167563817261
"29596","TBX18","TCF12",0.0540194007986262
"8692","FOXA1","FOXP3",0.0540225095576406
"29228","SPDEF","ZNF155",0.0540232261321013
"29694","TBX22","UTF1",0.0540238396149661
"27474","PRDM1","RFX6",0.0540242924596108
"13688","HES3","NR2F2",0.0540259270779913
"7431","ETS2","GCM1",0.0540276778800094
"11881","GATA5","ZBTB32",0.0540285881897071
"18525","IKZF1","ZNF423",0.0540286433643523
"412","ALX3","PPARA",0.054028931172292
"28756","SNAI2","TCF12",0.0540293107826621
"9144","FOXA3","HOXC12",0.0540295161719602
"9193","FOXA3","NFE2",0.0540312851317762
"22792","MYF6","PITX2",0.0540330207889277
"6411","EOMES","MYC",0.0540344170720167
"15563","HNF1A","ZNF410",0.0540366469998341
"3883","CEBPA","HEY2",0.0540369552824874
"8219","FEZF1","TBX22",0.0540422652301863
"2383","BATF","TCF12",0.0540443184152354
"4125","CEBPE","HOXA6",0.0540451434619001
"12739","GSC","MYOD1",0.0540454473359006
"21485","MEOX2","OLIG1",0.0540490472973822
"29224","SPDEF","ZBTB32",0.0540503876459176
"12167","GCM1","MYF6",0.0540505186265031
"17578","HOXC4","ZNF554",0.0540506914439635
"22078","MIXL1","THAP6",0.0540531715617731
"2273","BATF","IRF8",0.0540545877403416
"8300","FEZF2","HNF1B",0.0540555703386669
"27465","PPARG","ZNF79",0.0540574057121023
"26695","PAX8","ZNF280A",0.0540594535231138
"21640","MESP1","RARB",0.0540595720662469
"17457","HOXC4","MSX1",0.0540598414506988
"5661","DRGX","ETV1",0.0540673501240561
"19844","JUN","SPDEF",0.0540681196474941
"2675","BHLHA15","DRGX",0.0540703844525727
"16415","HOXA5","ZNF280A",0.0540735830086195
"22787","MYF6","PAX5",0.0540738634834768
"14655","HEYL","TCF12",0.0540742007570731
"20735","LHX8","ZIM2",0.0540743813376283
"16070","HNF4G","ZIM2",0.0540780186297579
"2519","BCL6B","LHX4",0.0540801649123253
"21245","MEF2B","SHOX2",0.0540803888729926
"22108","MIXL1","ZNF705D",0.0540818630536136
"30071","TP63","VSX1",0.0540820959813147
"3910","CEBPA","IRF5",0.0540837681358977
"19488","ISL1","NFE2",0.0540842470557965
"9718","FOXD4","ZSCAN5A",0.0540857170665623
"10276","FOXI1","SPIB",0.0540897884357153
"16593","HOXA6","ZNF582",0.0540906008482166
"19824","JUN","RFX6",0.0540910075389169
"30443","ZNF225","ZNF410",0.0540913140744573
"25095","NR2F1","RFX6",0.0540923207605367
"19195","IRF9","NR1I2",0.0540945349104352
"932","ARNT2","SPIC",0.0540964650896268
"30538","ZNF423","ZNF461",0.0540968687319663
"27285","POU5F2","ZNF155",0.054097392751915
"16130","HOXA1","MESP2",0.0541024585208459
"19666","ISX","POU2AF1",0.0541031334735964
"8358","FEZF2","NFATC3",0.0541050622716694
"15812","HNF4A","NKX2.8",0.0541081639678817
"11794","GATA5","NFE2L3",0.0541087974709805
"9854","FOXG1","SALL4",0.0541091072454948
"3963","CEBPA","NR5A1",0.0541111716549881
"29621","TBX18","ZNF280A",0.054114645519366
"9051","FOXA2","STAT4",0.0541150244511375
"24180","NFE2","ZNF582",0.0541166495588794
"24914","NR2C1","TBX22",0.054118272219275
"21804","MESP2","TBR1",0.0541199591482897
"19103","IRF8","STAT4",0.0541215424941087
"463","ALX3","VENTX",0.0541216746948916
"22592","MYC","THAP6",0.0541228749427162
"21802","MESP2","TAL1",0.0541242966258848
"28123","RORB","ZNF211",0.0541281255474064
"24140","NFE2","TAL2",0.0541286116484964
"4081","CEBPE","FEZF1",0.0541291139310974
"19910","JUNB","MESP2",0.0541298154004664
"20033","JUNB","ZNF501",0.054130703925454
"25542","NR4A2","THAP2",0.0541331567802478
"20460","LHX4","ZNF322",0.0541358025840192
"17262","HOXB7","ZSCAN5A",0.0541428262739992
"29332","SPIB","ZNF181",0.054143956129207
"22955","MYNN","TAL2",0.054145274018003
"19341","IRX6","NFKB1",0.0541454242802398
"8823","FOXA1","RXRG",0.0541454443181548
"15469","HNF1A","NR1I2",0.0541455579232666
"20646","LHX8","NFKB1",0.0541481082496898
"6747","ESR1","ZNF501",0.0541488254842326
"17479","HOXC4","NR1I2",0.0541518348260803
"10569","FOXP3","HOXD4",0.0541532725256379
"11305","FOXR2","ZNF280A",0.0541539887384061
"12327","GCM2","IKZF1",0.0541553644983999
"23023","MYOD1","NR4A1",0.0541562012455168
"5847","DRGX","VSX2",0.0541598040725241
"14304","HEY1","THRB",0.0541604866272271
"20703","LHX8","SOX9",0.0541607569427708
"6260","EGR4","SOX14",0.054160848349174
"24100","NFE2","PITX1",0.05416157519145
"29436","STAT4","ZNF317",0.0541628769259288
"29162","SP6","THAP6",0.0541639688426451
"13619","HES3","HNF1B",0.0541657533300062
"17850","HOXD3","SOX14",0.0541675509444797
"15148","HMX1","PPARG",0.0541681989117466
"6340","EOMES","FOXR1",0.054169693434739
"22598","MYC","VSX1",0.0541721928637197
"23325","NANOG","TBX22",0.054174898058243
"16249","HOXA1","ZNF410",0.0541779471396792
"27456","PPARG","ZNF461",0.0541785407163103
"19177","IRF9","MYF5",0.0541785704770327
"14273","HEY1","SIX2",0.0541789951443245
"1424","ASCL1","TBX22",0.0541794088433684
"15350","HMX2","SPDEF",0.0541798006331745
"18475","IKZF1","SMAD7",0.0541803063583282
"21971","MITF","ZNF483",0.0541817714259139
"22645","MYF5","NR1I2",0.0541819914134986
"16738","HOXA7","VSX1",0.0541823592044636
"22781","MYF6","OLIG2",0.054183168864764
"24450","NKX2.5","RFX6",0.0541876132646719
"21218","MEF2B","OVOL1",0.0541927996444215
"22506","MYC","NANOG",0.0541931942990959
"2603","BCL6B","SOX10",0.0541980783090267
"16113","HOXA1","IRX6",0.05419837016214
"19260","IRF9","TBX22",0.0541997808463741
"21133","MEF2A","TCF12",0.054201308638805
"12927","HAND1","MYOD1",0.0542038296182763
"7724","ETV1","NFE2L3",0.054213455862652
"1516","ASCL2","GCM1",0.054213750143588
"10156","FOXI1","HNF4G",0.0542166327610113
"25951","OLIG2","ZNF181",0.0542199653963021
"22880","MYNN","MYOG",0.0542203779258416
"6850","ESRRA","MYF6",0.0542215561274412
"15698","HNF1B","SPI1",0.0542238783690184
"5605","DLX5","TAL2",0.0542258599326684
"25251","NR2F2","ZNF181",0.0542264822886893
"974","ARNT2","ZNF556",0.0542283551686255
"27483","PRDM1","SMAD1",0.0542335927785898
"18589","IKZF3","NR2F2",0.0542337417238927
"11619","GATA4","OVOL1",0.0542360106353354
"19340","IRX6","NFE2L3",0.0542376029758794
"26588","PAX7","THAP6",0.0542396610940609
"8194","FEZF1","SALL4",0.0542403213873031
"21066","MEF2A","NR1H4",0.0542461757750762
"7587","ETS2","THAP2",0.0542479332467528
"22767","MYF6","NKX2.5",0.0542484918172486
"13723","HES3","RXRG",0.0542495936015838
"2747","BHLHA15","IRF9",0.0542517753119645
"12669","GRHL3","ZNF77",0.0542550229545699
"26394","PAX3","TAL1",0.0542558435529031
"30103","USF1","VSX1",0.0542564097068091
"8848","FOXA1","TBX20",0.0542577296796179
"4676","CREB3L3","RFX3",0.0542579999277968
"12405","GCM2","PRDM14",0.0542580018212405
"30158","UTF1","ZNF705D",0.0542607043880796
"12620","GRHL3","SPDEF",0.0542619955150145
"19738","ISX","ZNF461",0.0542623829127935
"28805","SOHLH1","SPDEF",0.0542641682766124
"14285","HEY1","SPDEF",0.0542651672255346
"29876","TFAP2A","ZNF483",0.0542691709100342
"21933","MITF","STAT4",0.0542705656699134
"20177","KLF1","ZNF483",0.0542757638995209
"3933","CEBPA","MSX1",0.0542776902582187
"11197","FOXR2","MYF6",0.0542786213772073
"26241","OVOL1","ZNF317",0.0542790383134236
"22753","MYF5","ZSCAN5A",0.0542794265373147
"19216","IRF9","PITX1",0.0542811027918302
"28115","RORB","VSX2",0.0542817708095109
"25878","OLIG2","OVOL1",0.0542834802208971
"23061","MYOD1","SMAD1",0.0542900204508805
"25502","NR4A2","RBAK",0.0542918453989841
"25719","NR5A2","SOX14",0.0542951079123654
"11829","GATA5","PRDM14",0.054297070741535
"24726","NR1H4","ZNF317",0.0542983330447242
"29687","TBX22","TFAP2B",0.0543022960709304
"10943","FOXR1","HESX1",0.0543026306812265
"29407","STAT4","TBX18",0.0543047941601438
"15174","HMX1","SP6",0.0543058920400321
"17538","HOXC4","STAT4",0.0543067438176563
"18648","IKZF3","TBX18",0.0543073418948147
"24712","NR1H4","VENTX",0.054309302408386
"11502","GATA3","ZNF317",0.054311750949925
"26959","PITX2","ZNF410",0.0543145002375673
"4588","CREB3L3","HOXC4",0.054316976448767
"14596","HEYL","NR4A2",0.0543175075702758
"26834","PITX1","SPDEF",0.0543176502971829
"8910","FOXA2","GRHL3",0.0543190091139187
"29181","SP6","ZNF317",0.0543211124006113
"7525","ETS2","OLIG1",0.0543211153775429
"21294","MEF2B","ZNF227",0.0543259578623238
"20495","LHX6","MYOG",0.0543263282961935
"9083","FOXA2","ZNF280A",0.0543274810774482
"2762","BHLHA15","MEF2C",0.0543282729945817
"30083","TP63","ZNF280A",0.0543291470359144
"739","ARNT2","ARNTL2",0.0543347052329673
"8895","FOXA2","FOXD4",0.0543347079066978
"4050","CEBPA","ZNF423",0.0543349637771848
"8315","FEZF2","HOXD9",0.0543356773189929
"30425","ZNF211","ZNF423",0.0543359951263463
"13678","HES3","NFE2",0.0543397651038501
"1196","ARNTL2","VSX1",0.0543419337507668
"20599","LHX6","ZNF227",0.0543423924541295
"18652","IKZF3","TCF7L1",0.0543430065587465
"88","ALX1","HOXD4",0.0543431809365158
"11456","GATA3","SNAI1",0.0543511734316905
"10321","FOXI1","ZNF615",0.0543515483639859
"29232","SPDEF","ZNF227",0.0543541114614049
"272","ALX3","EGR4",0.05435911641324
"21428","MEF2C","ZNF211",0.0543604399555979
"27951","RFX6","STAT4",0.0543606270313521
"17901","HOXD3","ZNF582",0.0543634802207716
"63","ALX1","HES3",0.054364222515235
"10155","FOXI1","HNF4A",0.0543665949456011
"1562","ASCL2","JUNB",0.0543674463752219
"15886","HNF4A","THAP2",0.0543717351666406
"11053","FOXR1","RHOXF2",0.054372292144063
"15280","HMX2","MYOD1",0.0543796402271291
"11999","GATA6","NR4A2",0.0543844244299079
"10296","FOXI1","UTF1",0.0543907185916891
"29090","SOX9","SPDEF",0.054391435380201
"1772","ATF5","HMX1",0.0543923180834745
"4181","CEBPE","NFKB1",0.054392420198459
"30218","VSX1","ZNF77",0.0543934060750619
"6156","EGR4","HOXC4",0.0543945858759571
"18485","IKZF1","SPDEF",0.0543965510823335
"1869","ATF5","PRDM1",0.0543974955806731
"13863","HES6","NFKB1",0.0543981734523073
"19906","JUNB","MEF2B",0.0543985854439559
"11340","GATA3","HIF1A",0.0543996542391205
"5399","DLX4","VSX1",0.054400615118
"30142","UTF1","ZNF181",0.0544026652991949
"25943","OLIG2","VSX1",0.0544038056941337
"13661","HES3","MIXL1",0.0544046995500911
"9990","FOXH1","MEOX2",0.0544047165629579
"12457","GCM2","ZBTB32",0.0544080663198086
"312","ALX3","HEY1",0.0544098824146625
"13222","HAND2","ZNF322",0.0544104829495409
"5806","DRGX","RXRG",0.0544135665037288
"11897","GATA5","ZNF501",0.0544140776729473
"19345","IRX6","NR1I2",0.0544156786402293
"7201","ESRRG","FOXA3",0.0544164041067814
"1318","ASCL1","ISL1",0.0544200875230058
"2565","BCL6B","OLIG2",0.0544205931027452
"12340","GCM2","LHX4",0.0544219025891434
"18094","HOXD9","MIXL1",0.0544244886255157
"28414","SHOX2","ZNF79",0.0544251390381717
"18534","IKZF1","ZNF77",0.0544264648851104
"5131","DLX3","RHOXF2",0.0544280710192486
"15476","HNF1A","NR4A2",0.0544286647460468
"23086","MYOD1","TFAP2A",0.054429017696144
"10213","FOXI1","NFE2",0.0544295864846842
"29516","TAL2","UTF1",0.0544330316077
"20878","LMX1B","ZNF211",0.0544337169766041
"3799","CDX4","TP63",0.0544346754526236
"22727","MYF5","ZBTB32",0.0544347386031365
"22120","MSX1","MYOD1",0.0544356522415039
"7194","ESRRG","ETV1",0.0544376604939874
"4754","CREB5","DRGX",0.0544379674731688
"21289","MEF2B","ZIM2",0.0544434948600133
"29797","TCF7L1","ZNF483",0.054443677196098
"27683","RARB","ZNF225",0.0544449219515517
"27407","PPARG","SNAI2",0.0544490628998343
"4910","CREB5","SHOX2",0.0544512352337934
"9942","FOXH1","HES6",0.0544532237788726
"361","ALX3","MITF",0.0544532414177663
"21281","MEF2B","UTF1",0.0544573640077941
"24834","NR1I2","ZNF317",0.054459134493884
"27933","RFX6","SHOX2",0.0544617686600041
"2376","BATF","STAT4",0.0544629380697784
"19907","JUNB","MEF2C",0.0544667368139104
"18353","ID1","VSX1",0.0544702454220273
"9664","FOXD4","SP6",0.0544718201459315
"6533","EOMES","ZNF705D",0.0544730791671989
"929","ARNT2","SPDEF",0.0544734028764868
"4948","CREB5","VSX1",0.0544759754080828
"11419","GATA3","NR5A2",0.0544817234475116
"17341","HOXC12","POU2AF1",0.0544820310488628
"14145","HESX1","ZNF461",0.0544859789446691
"24293","NFE2L3","ZNF582",0.0544885170683059
"5295","DLX4","MESP2",0.0544889384038322
"2890","BHLHA15","ZNF556",0.0544889460353283
"11416","GATA3","NR4A1",0.0544895229789249
"7365","ESRRG","TBX22",0.0544933206668365
"22196","MSX1","TAL2",0.0544941623397971
"13937","HES6","TFAP2B",0.0544950364074858
"20139","KLF1","STAT4",0.0544951363006621
"11258","FOXR2","SMAD1",0.054495241169443
"21524","MEOX2","SOX10",0.0544963094572789
"27918","RFX3","ZNF554",0.0544963676462332
"13251","HES1","HNF4A",0.0544969143738904
"4017","CEBPA","TBR1",0.0544998303627736
"25781","OLIG1","OVOL1",0.0545002947801892
"22629","MYF5","MYNN",0.0545008737320271
"1131","ARNTL2","OVOL1",0.0545015087653507
"26990","PITX3","SALL4",0.054502825184196
"10016","FOXH1","NR1H4",0.0545040697626942
"29509","TAL2","TFAP2B",0.0545086895170551
"9567","FOXD4","IRF9",0.0545124786756871
"8252","FEZF1","ZNF501",0.0545127475945325
"16926","HOXB13","ZNF582",0.0545145345394335
"791","ARNT2","GCM2",0.0545170604712186
"9708","FOXD4","ZNF501",0.0545174376884741
"22741","MYF5","ZNF461",0.0545188702103406
"21499","MEOX2","POU2AF1",0.0545199695726286
"13927","HES6","TAL1",0.0545222275543948
"11696","GATA4","ZNF280A",0.0545228674999507
"12310","GCM2","HNF1B",0.0545236508474934
"29099","SOX9","TBX20",0.0545244472972179
"15808","HNF4A","NFE2",0.0545264701927872
"350","ALX3","LHX4",0.0545283414172807
"14574","HEYL","MYOD1",0.0545284303922075
"15422","HNF1A","IKZF3",0.0545285019013136
"5438","DLX5","ETV1",0.0545290229440234
"4262","CEBPE","UTF1",0.0545294170900897
"5543","DLX5","NR1H4",0.0545304080579409
"9587","FOXD4","MIXL1",0.0545307961653521
"477","ALX3","ZNF317",0.0545308105308051
"17911","HOXD4","IKZF1",0.0545329510798227
"2229","BATF","GATA3",0.0545336391885236
"17070","HOXB6","VSX2",0.0545370924842051
"402","ALX3","PAX5",0.0545392064244888
"6820","ESRRA","IKZF3",0.0545397071855104
"15141","HMX1","PITX1",0.0545467338998364
"27498","PRDM1","STAT4",0.0545473822077869
"22604","MYC","ZIM2",0.054547523109784
"9157","FOXA3","IRX6",0.0545483845770417
"11751","GATA5","IKZF1",0.0545484284364015
"29684","TBX22","TCF7L1",0.0545490155728055
"16062","HNF4G","UTF1",0.054549100102102
"3041","BHLHE23","PAX3",0.0545494586631092
"11361","GATA3","ID1",0.0545512852822348
"22095","MIXL1","ZNF227",0.054552624648823
"16605","HOXA7","HOXC4",0.0545599836654199
"11396","GATA3","MYOG",0.0545613370148608
"13798","HES6","HLF",0.0545630408249393
"19219","IRF9","POU2AF1",0.0545637535719033
"3119","BHLHE23","ZNF410",0.0545694595292354
"773","ARNT2","FOXA1",0.0545736529130982
"15979","HNF4G","NFE2",0.0545754688555212
"8937","FOXA2","HOXC12",0.0545783363665076
"20745","LHX8","ZNF423",0.0545785824700176
"11879","GATA5","VSX2",0.0545794441708321
"12442","GCM2","TCF7L1",0.054580245366198
"29361","SPIC","TCF12",0.0545819473650127
"17835","HOXD3","RFX6",0.0545833662059578
"12978","HAND1","RHOXF2",0.054583447056943
"11735","GATA5","HNF4A",0.0545838546870415
"3294","CDX1","RFX6",0.0545858018077533
"14503","HEY2","ZNF322",0.0545867645906222
"26582","PAX7","TCF7L1",0.0545915395164647
"28436","SIM2","TAL2",0.0545923585232534
"15897","HNF4A","ZBTB6",0.0545927116890975
"10451","FOXO1","RARB",0.0545938914280273
"24187","NFE2","ZSCAN5A",0.054593935244943
"4825","CREB5","IRF8",0.0545978081498297
"25991","OLIG3","RARB",0.0546010306653534
"22803","MYF6","REL",0.054601588771324
"22564","MYC","SMAD7",0.0546034439382181
"8428","FEZF2","TBX18",0.054603835926846
"8107","FEZF1","IKZF3",0.0546046207843035
"19599","ISL1","ZNF79",0.0546049137004926
"27892","RFX3","THAP6",0.0546066938802867
"25995","OLIG3","RFX6",0.0546069269694023
"10292","FOXI1","THAP6",0.0546080366118055
"26297","PAX2","SPDEF",0.0546087939559636
"15904","HNF4A","ZNF227",0.0546095022493861
"29138","SOX9","ZNF705D",0.0546099515956922
"27494","PRDM1","SPDEF",0.0546117781657492
"15931","HNF4G","HOXC4",0.0546133935529674
"5580","DLX5","RHOXF2",0.0546143617775826
"22307","MSX2","SIX2",0.0546154732384206
"24553","NKX2.8","PPARG",0.0546167979862632
"17963","HOXD4","NR2F2",0.0546181619346862
"14246","HEY1","PAX3",0.0546213997182658
"21437","MEF2C","ZNF483",0.0546218840652843
"13296","HES1","MYC",0.0546222644557512
"17831","HOXD3","RARB",0.0546235501804412
"1723","ATF5","DLX4",0.0546239372861424
"28036","RHOXF2","THAP2",0.054629287309985
"27989","RFX6","ZNF483",0.0546320477700091
"9071","FOXA2","VSX1",0.0546331891005976
"28829","SOHLH1","VSX1",0.054634009023365
"24723","NR1H4","ZNF225",0.054634014712041
"16613","HOXA7","IRF4",0.0546343205237239
"24145","NFE2","TCF12",0.0546373777014982
"14073","HESX1","POU2AF1",0.0546375837529309
"1759","ATF5","GSC",0.0546445117868031
"20556","LHX6","SNAI2",0.0546508399522727
"24135","NFE2","SPI1",0.0546544377215974
"7983","FEV","SHOX2",0.054656620655161
"14680","HEYL","ZNF280A",0.0546572746406524
"24683","NR1H4","SOX10",0.0546591228581286
"18827","IRF4","ZNF211",0.0546604742672649
"3452","CDX2","ISX",0.0546625921134173
"7792","ETV1","TBX18",0.054663301053761
"25076","NR2F1","PAX3",0.0546644058852036
"4815","CREB5","HOXC4",0.0546644205425466
"27295","POU5F2","ZNF461",0.054664692333601
"9074","FOXA2","ZBTB32",0.0546656695341329
"27000","PITX3","SOX14",0.0546658182411025
"19774","JUN","MYOD1",0.0546681037184923
"22944","MYNN","SOX14",0.0546700895621466
"25134","NR2F1","THRB",0.0546707745253425
"4258","CEBPE","THAP6",0.0546708455732249
"4260","CEBPE","TP63",0.0546717866456899
"17738","HOXD13","ZNF501",0.054671930721212
"30486","ZNF280A","ZNF615",0.0546745537362249
"26335","PAX2","ZNF322",0.0546746798528342
"25760","NR5A2","ZNF280A",0.0546787805456821
"9121","FOXA3","HES1",0.0546818810321732
"22058","MIXL1","SOX9",0.0546822933905829
"4763","CREB5","ETV1",0.0546833869338616
"1570","ASCL2","MEF2A",0.0546833962229889
"18782","IRF4","SIX2",0.0546837184313725
"12668","GRHL3","ZNF705D",0.0546838013329317
"466","ALX3","WT1",0.0546838229726053
"15935","HNF4G","HOXD9",0.0546840537474406
"10699","FOXP3","VSX1",0.0546859577703456
"29964","THAP2","THRB",0.0546874592683301
"8301","FEZF2","HNF4A",0.0546881401660584
"349","ALX3","LBX1",0.0546911694666841
"296","ALX3","FOXR2",0.0546957550757352
"6370","EOMES","HOXA6",0.0546960776736375
"26164","OVOL1","PAX2",0.0547004592490651
"25244","NR2F2","VSX2",0.0547019922448254
"15134","HMX1","OVOL1",0.054704307394849
"8879","FOXA1","ZNF423",0.0547063062194414
"8299","FEZF2","HNF1A",0.0547095065967829
"28072","RHOXF2","ZSCAN5A",0.0547137677410788
"26382","PAX3","SOHLH1",0.0547152215562074
"11268","FOXR2","SP6",0.0547155387474583
"13731","HES3","SNAI2",0.0547169600370887
"1508","ASCL2","FOXP3",0.0547175672068393
"13164","HAND2","RFX6",0.0547176046766576
"20864","LMX1B","THRB",0.0547182109767292
"10720","FOXP3","ZNF556",0.0547196186836995
"28278","RXRG","ZNF77",0.0547223874578102
"13741","HES3","SPIB",0.0547233225332239
"11425","GATA3","PAX2",0.0547274392787772
"6135","EGR4","HES6",0.0547305412981032
"1520","ASCL2","HAND1",0.0547312722729283
"2284","BATF","LHX8",0.0547354546226524
"14031","HESX1","MYF5",0.0547368327917073
"29654","TBX20","VSX2",0.0547450387102848
"5725","DRGX","IRX6",0.0547500619607467
"27720","RBAK","SOX14",0.0547537960841128
"12293","GCM2","GRHL3",0.0547545903205059
"1485","ASCL2","DRGX",0.0547546393200084
"22728","MYF5","ZBTB6",0.0547572784506936
"962","ARNT2","ZNF211",0.0547588384842335
"6412","EOMES","MYF5",0.0547614887997877
"14079","HESX1","PRDM14",0.0547622025916444
